dependent,variable,coefficient,se,pval,lower_bound,upper_bound,keep
clearance,Acceleration_y,-0.005839154880431943,0.003195583162893306,0.06776665872333476,-0.012102497879702823,0.00042418811883893764,0
clearance,Acceleration_y_other,0.003801443322917529,0.009885485442261132,0.7006013583320208,-0.015574108143914288,0.023176994789749345,0
clearance,Acceleration_y_own,0.02744653350490156,0.010952247487020682,0.012265848494582121,0.0059801284303410245,0.04891293857946209,1
clearance,Aggression,0.0020831085760155714,0.0024870329009314073,0.4023332155833639,-0.0027914759098099868,0.0069576930618411295,0
clearance,Aggression_other,-0.01392881198518718,0.005932020472636388,0.018939625801314586,-0.0255555721115545,-0.0023020518588198584,1
clearance,Aggression_own,-0.0012772449776985528,0.006733195877515349,0.8495627987505197,-0.014474308897628638,0.011919818942231533,0
clearance,Agility,0.007771955048759679,0.0019469882929651022,6.725139983188022e-05,0.003955857994548079,0.011588052102971279,1
clearance,Agility_other,-0.013766665779360365,0.008345653506696653,0.09914414004021621,-0.030124146652485806,0.0025908150937650753,0
clearance,Agility_own,-0.021399686053086234,0.010294807199167129,0.03773632886811762,-0.041577508163453805,-0.0012218639427186637,1
clearance,Balance,-0.002395256603495818,0.002178339529859785,0.2716094487362146,-0.006664802082020997,0.0018742888750293602,0
clearance,Balance_other,0.0023693246359687697,0.0065968575687196385,0.7195026064460661,-0.010560516198721722,0.015299165470659262,0
clearance,Balance_own,-0.006665142549007176,0.007548825744600103,0.3773452397513912,-0.021460841008423378,0.008130555910409027,0
clearance,Ball control,-0.012228904572791355,0.0034137874609382847,0.0003464632694170078,-0.018919927996230393,-0.005537881149352317,1
clearance,Ball control_other,0.015050176024261373,0.012690520563511144,0.23574656387794346,-0.00982324428022047,0.03992359632874322,0
clearance,Ball control_own,-0.015990930996092802,0.014848887888532615,0.28161216883824536,-0.04509475125761673,0.013112889265431124,0
clearance,Composure,-0.0024120372112159654,0.0015878631329473082,0.12886304617740585,-0.00552424895179269,0.0007001745293607588,0
clearance,Composure_other,-0.010389364996922619,0.007039391426039541,0.14008520119965295,-0.024186572191960118,0.0034078421981148816,0
clearance,Composure_own,-0.002846345948694584,0.008941626871766709,0.7502617844802946,-0.020371934617357333,0.014679242719968164,0
clearance,Crossing,-0.003911454382375703,0.005178151065746776,0.4500861292379157,-0.014060630471239382,0.0062377217064879765,0
clearance,Crossing_other,0.003280034455318271,0.006648276804660099,0.6217923566369565,-0.00975058808181552,0.016310656992452065,0
clearance,Crossing_own,0.022708728946129395,0.007180557967575401,0.0015806721611946184,0.008634835329681609,0.03678262256257718,1
clearance,Curve,0.012471497292167575,0.00541724762987178,0.021397378713369664,0.0018536919376188864,0.023089302646716263,1
clearance,Curve_other,0.005237428428035002,0.006670981144669399,0.43245730013540973,-0.00783769461551702,0.018312551471587023,0
clearance,Curve_own,-0.028434618852799354,0.007351990528071286,0.00011239357934900163,-0.04284452028781907,-0.014024717417779635,1
clearance,Dribbling,0.011253072333207877,0.005317804395176215,0.03442267709510283,0.0008301757186624948,0.02167596894775326,1
clearance,Dribbling_other,-0.015380669459136917,0.009728895624391404,0.1140070167917222,-0.03444930488294407,0.0036879659646702357,0
clearance,Dribbling_own,-0.0009719367275347654,0.010920059149265363,0.9290844872213577,-0.022375252660094876,0.020431379205025347,0
clearance,Finishing,-0.013721910476258379,0.006274558798685883,0.028830835303049085,-0.02602004572168271,-0.0014237752308340484,1
clearance,Finishing_other,-0.005653696910955917,0.007421015732505815,0.44621358248338217,-0.020198887746667313,0.00889149392475548,0
clearance,Finishing_own,-0.004596364724223123,0.008013163710938005,0.5662830843480853,-0.02030216559766161,0.011109436149215368,0
clearance,Free kick accuracy,0.02104912193362694,0.006666828836239112,0.0016092442614321634,0.00798213741459828,0.0341161064526556,1
clearance,Free kick accuracy_other,0.001876998868459604,0.0057750399698030044,0.7451906590583417,-0.009442079472354285,0.013196077209273493,0
clearance,Free kick accuracy_own,-0.028642968899366582,0.006132395886309153,3.1414037180432786e-06,-0.04066246483653252,-0.016623472962200642,1
clearance,Heading accuracy,-0.0082517703063545,0.004253067220212261,0.0524558678456557,-0.01658778205797053,8.42414452615313e-05,0
clearance,Heading accuracy_other,0.00027396558468287735,0.006047541212487779,0.9638698187777011,-0.011579215191793168,0.012127146361158924,0
clearance,Heading accuracy_own,-0.04020578743759985,0.0068397418947366145,4.632934480497397e-09,-0.05361168155128362,-0.026799893323916087,1
clearance,Intercept,3.1994740449493655,,,,,1
clearance,Interceptions,0.002204974220749797,0.004494638896062547,0.623762619080785,-0.006604518015532794,0.011014466457032388,0
clearance,Interceptions_other,0.0022052575039811775,0.008771228268323147,0.8015081468830152,-0.014986349901932192,0.01939686490989455,0
clearance,Interceptions_own,-0.0021861974720567444,0.009623391571267055,0.8203038575172479,-0.02104804495174017,0.01667565000762668,0
clearance,Jumping,-0.004966311280604859,0.0019294992017914476,0.010106973652541651,-0.008748129716116096,-0.001184492845093622,1
clearance,Jumping_other,0.00158748142272878,0.0052919833168364626,0.7642156432264682,-0.008784805878270685,0.011959768723728247,0
clearance,Jumping_own,0.003428958494693303,0.005985481839794025,0.5667721279456235,-0.008302585911302986,0.015160502900689592,0
clearance,Long passing,0.012478216559844213,0.003274654554147046,0.00014162451594690317,0.006059893633716003,0.018896539485972422,1
clearance,Long passing_other,-0.01850373474625971,0.009522661609475295,0.05210031676595417,-0.03716815150083129,0.00016068200831186735,0
clearance,Long passing_own,0.009049970697530753,0.01124586601860315,0.42103900757563295,-0.01299192669893142,0.031091868093992926,0
clearance,Long shots,-0.022802450933109383,0.006860309071310897,0.0008992763883239885,-0.03624865671287874,-0.009356245153340026,1
clearance,Long shots_other,0.002196016793561027,0.007707440363685475,0.7757250817251382,-0.012910566319262504,0.01730259990638456,0
clearance,Long shots_own,0.015803471434820086,0.008503186863779945,0.06319721788075983,-0.0008627748181886039,0.032469717687828775,0
clearance,Marking,0.011442995656181648,0.005960507560996986,0.05498370227400162,-0.0002395991633724441,0.02312559047573574,0
clearance,Marking_other,-0.010796467865609996,0.009408433155547161,0.2512596425525033,-0.02923699685048243,0.007644061119262439,0
clearance,Marking_own,-0.014359793520907778,0.010341682426773111,0.16508373422548228,-0.03462949107738307,0.005909904035567518,0
clearance,Penalties,-0.010610923818021112,0.0029610649196015115,0.00034478728371523104,-0.016414611060440076,-0.00480723657560215,1
clearance,Penalties_other,-0.0017493498317820285,0.006486158271202085,0.7874068927617552,-0.014462220043338116,0.010963520379774057,0
clearance,Penalties_own,0.030404874681386085,0.007918711537403736,0.00012593357016044138,0.014884200068074761,0.04592554929469741,1
clearance,Positioning,0.004358196978755165,0.006691341158627772,0.5148937385221641,-0.008756831692155269,0.0174732256496656,0
clearance,Positioning_other,-0.00045274327231546393,0.00787828395850162,0.9541770707609729,-0.015894179830978638,0.01498869328634771,0
clearance,Positioning_own,-0.0328022462324796,0.008545408688690108,0.0001264666286282523,-0.049551247262312206,-0.016053245202646987,1
clearance,Reactions,-0.022539209512711343,0.0026328856071171154,0.0,-0.027699665302660888,-0.0173787537227618,1
clearance,Reactions_other,0.00872350259630692,0.007240456527475773,0.22837095981351063,-0.005467792197545595,0.022914797390159433,0
