dependent,variable,coefficient,se,pval,lower_bound,upper_bound,keep
assist,Finishing,0.0004704864295946721,0.001680894713985219,0.7796384475377418,-0.0028240672098163574,0.003765040069005701,0
assist,Finishing_other,-0.0011801012670770057,0.0007338333427307373,0.10781816439456304,-0.0026184146188292508,0.00025821208467523933,0
assist,Finishing_own,0.0005262331887557382,0.0008110554115640697,0.5164570326681619,-0.0010634354179098384,0.0021159017954213146,0
assist,Free kick accuracy,0.0006611394417980001,0.0006546952575316519,0.3436436018311073,-0.0006220632629640374,0.0019443421465600377,0
assist,Free kick accuracy_other,-0.00012555266219691356,0.0005859031436798134,0.8303234271617128,-0.0012739228238093478,0.0010228174994155207,0
assist,Free kick accuracy_own,0.0011364354354899495,0.0005836464921382355,0.0515297972914599,-7.511689100991956e-06,0.002280382560080891,0
assist,Heading accuracy,-0.0004655998804386489,0.00043834273018144134,0.2930907331558057,-0.0013247516315942737,0.0003935518707169761,0
assist,Heading accuracy_other,-0.00011670949508250105,0.0006058911805362919,0.8472557569299566,-0.0013042562089336331,0.001070837218768631,0
assist,Heading accuracy_own,0.0009775978899355933,0.0007628133075256347,0.20002286611443343,-0.0005175161928146507,0.002472711972685837,0
assist,Intercept,-0.23710748331663417,,,,,1
assist,Interceptions,0.00047849915146661075,0.0007142835234744077,0.5425812043120715,-0.0009214965545432283,0.00187849485747645,0
assist,Interceptions_other,0.0011126581504731755,0.0009097896140654993,0.22134794196512275,-0.0006705294930952031,0.002895845794041554,0
assist,Interceptions_own,-0.0016727104612795564,0.0009571590493771575,0.08054966739539404,-0.003548742198058785,0.00020332127549967213,0
assist,Jumping,-0.00019631153696347906,0.00020785632633005423,0.3680808728964515,-0.0006037099365703853,0.0002110868626434272,0
assist,Jumping_other,7.858174878171766e-05,0.0005012770772271997,0.8755433711320935,-0.0009039213225835938,0.0010610848201470292,0
assist,Jumping_own,5.910605727970531e-05,0.0005946177904836811,0.9208207351652828,-0.0011063448120683097,0.0012245569266277202,0
assist,LB,-0.002234994648055283,,,,,1
assist,LM,0.014584702961407958,,,,,1
assist,LW,-0.004008684853773877,,,,,1
assist,LWB,0.03104641115122426,,,,,1
assist,Long passing,0.0006765724142557205,0.0005126402095805158,0.20190379557948956,-0.00032820239652209043,0.0016813472250335314,0
assist,Long passing_other,-0.0012586454795201624,0.000976070004774284,0.19723455271913193,-0.003171742688877759,0.0006544517298374343,0
assist,Long passing_own,-0.000930322940624925,0.0010567927984061387,0.3786904397366577,-0.003001636825500957,0.0011409909442511067,0
assist,Long shots,0.00018676113888952924,0.0002147017343728494,0.3847237562919277,-0.00023405426048125558,0.000607576538260314,0
assist,Long shots_other,0.0008722333829127195,0.0007945450347587009,0.27231272381121396,-0.0006850748852143344,0.002429541651039773,0
assist,Long shots_own,-0.000744186895621332,0.000805728667770981,0.3557479708946891,-0.0023234150844524547,0.0008350412932097909,0
assist,Marking,-0.00048655886454828897,0.0003625225234338854,0.23742436573434866,-0.0011971030104787044,0.00022398528138212648,0
assist,Marking_other,-5.802957897023494e-05,0.0009634668079720489,0.9519730738600571,-0.0019464245225954506,0.001830365364654981,0
assist,Marking_own,-0.0017992803403360938,0.0009520088229354707,0.058893514140150316,-0.003665217633289616,6.665695261742874e-05,0
assist,Penalties,-0.0004739995405834695,0.0004592076044890463,0.3019876842214433,-0.0013740464453820002,0.00042604736421506125,0
assist,Penalties_other,0.0008916983528264978,0.0006624182701969762,0.1782875743240211,-0.0004066414567595756,0.0021900381624125713,0
assist,Penalties_own,-0.00041035472465014434,0.0007555128582516254,0.5870384055757456,-0.0018911599268233302,0.0010704504775230416,0
assist,Positioning,-0.0003729126881666776,0.0007814833793305267,0.6339436041847648,-0.00190462011165451,0.0011587947353211545,0
assist,Positioning_other,-0.00022885560539485583,0.0007877831016691446,0.7714330480060609,-0.0017729104846663792,0.0013151992738766676,0
assist,Positioning_own,0.0010111401547702155,0.000858478189698068,0.23887560644316785,-0.0006714770970379976,0.0026937574065784287,0
assist,RB,-0.002660905736107394,,,,,1
assist,RM,0.009788669214895787,,,,,1
assist,RW,0.012221479607296514,,,,,1
assist,RWB,0.024691558139718305,,,,,1
assist,Reactions,0.00032840808772546825,0.0003056169936083291,0.28269690526596936,-0.00027060121974685676,0.0009274173951977933,0
assist,Reactions_other,-0.0036049587095441705,0.0007202838671108939,5.626331149866104e-07,-0.005016715089081522,-0.0021932023300068187,1
assist,Reactions_own,0.005938187234891302,0.0007862308915664432,4.39648317751562e-14,0.004397174687421073,0.00747919978236153,1
assist,ST,-0.014943764298583986,,,,,1
assist,Short passing,-0.0007776038434041054,0.000662998876599339,0.24117070659380402,-0.0020770816415388096,0.000521873954730599,0
assist,Short passing_other,0.0037146479266405826,0.0011185635830633003,0.0008987150110790765,0.001522263303836514,0.005907032549444651,1
assist,Short passing_own,0.0012294871887728698,0.0012340099784070137,0.3190966732140439,-0.0011891723689048772,0.0036481467464506167,0
assist,Shot power,-0.0004124904632760175,0.00026295565009857696,0.1177930419889408,-0.0009278835374692284,0.00010290261091719339,0
assist,Shot power_other,-0.0006607138642406157,0.0007388645660906608,0.37120773824731046,-0.002108888413778311,0.0007874606852970794,0
assist,Shot power_own,0.00048621826900921986,0.0007921144374451166,0.5393455156507196,-0.0010663260283832086,0.002038762566401648,0
assist,Sliding tackle,1.4572511352429525e-05,0.0001374733823743407,0.9173107302497852,-0.0002548753181012783,0.0002840203408061373,0
assist,Sliding tackle_other,-0.00014374296317050674,0.001139823593029306,0.8996459865801212,-0.0023777972055079467,0.0020903112791669336,0
assist,Sliding tackle_own,0.002033883574802578,0.001137624969276932,0.07382709981957114,-0.00019586136498020868,0.004263628514585365,0
assist,Sprint speed,-0.00029725832824174466,0.00026922755350554205,0.26956220452943613,-0.000824944333112607,0.0002304276766291177,0
assist,Sprint speed_other,-0.0008850139006156799,0.0008098606916534005,0.2744953945624742,-0.002472340856256345,0.000702313055024985,0
assist,Sprint speed_own,-0.0011696104369503565,0.0009455308563980885,0.21610507730611195,-0.00302285091549061,0.0006836300415898968,0
assist,Stamina,0.0004886547062412616,0.00042735554034866314,0.2532388725176826,-0.00034896215284211816,0.0013262715653246412,0
assist,Stamina_other,0.00036863722384106553,0.0006398693142213118,0.5645456546603098,-0.0008855066320327056,0.0016227810797148365,0
assist,Stamina_own,-0.0002122922282783174,0.0006910629140114968,0.7586973878674244,-0.0015667755397408513,0.0011421910831842163,0
assist,Standing tackle,-0.0010312991199978776,0.00033324610309054385,0.0020584257848994536,-0.0016844614820553435,-0.00037813675794041166,1
assist,Standing tackle_other,-0.0014208609791289894,0.0011279398676641772,0.2077903071419278,-0.0036316231197507766,0.0007899011614927976,0
assist,Standing tackle_own,0.00188581639236577,0.0011370339022248562,0.09722044401039831,-0.0003427700559949481,0.004114402840726488,0
assist,Strength,0.0001689272296550486,0.00038561770585017924,0.6613683154989882,-0.0005868834738113028,0.0009247379331213999,0
assist,Strength_other,0.0008670567862691342,0.0006316349668316828,0.17007119881772925,-0.0003709477487209641,0.0021050613212592324,0
assist,Strength_own,-0.0001526452845169145,0.0004980479447993847,0.7601029852703185,-0.0011288192563237084,0.0008235286872898795,0
assist,Vision,-2.317671632078109e-05,0.0003382799723414236,0.9454079256365708,-0.0006862054621099713,0.0006398520294684092,0
assist,Vision_other,8.295765174386348e-05,0.0006624353067691355,0.90034151953857,-0.0012154155495236422,0.0013813308530113693,0
assist,Vision_own,-0.0013696425963792866,0.000722561949861777,0.05803226941065742,-0.0027858640181083697,4.657882534979635e-05,0
assist,Volleys,-5.6704645416304255e-05,0.00014684732043092875,0.706671433947013,-0.0003445253934609246,0.00023111610262831607,0
assist,Volleys_other,-1.741045923503532e-05,0.0006767198829116776,0.979474713243258,-0.0013437814297419233,0.0013089605112718528,0
assist,Volleys_own,-0.00013717001547638785,0.000752950260950874,0.8556232004530298,-0.0016129525269401009,0.0013386124959873253,0
clearance,Acceleration_y,-0.007642461179833799,0.014831650658806192,0.6063795552063702,-0.03671249647109393,0.021427574111426338,0
clearance,Acceleration_y_other,0.0021320596746197814,0.005780738549267461,0.7123635130329733,-0.009198187881944441,0.013462307231184006,0
clearance,Acceleration_y_own,-0.000555238518329709,0.006007638549512433,0.9263665954800129,-0.012330210075374076,0.011219733038714659,0
clearance,Aggression,-0.0010895687934560742,0.005218689317466926,0.8719400729732412,-0.01131819985569125,0.009139062268779101,0
clearance,Aggression_other,-0.01254442612576409,0.00345681225985833,0.0002851929364493522,-0.019319778155086415,-0.005769074096441763,1
clearance,Aggression_own,0.016894639550064143,0.0033567207167424723,4.908469239950364e-07,0.010315466945248897,0.02347381215487939,1
clearance,Agility,-0.0023490082381411505,0.0013646363008052954,0.7807033776851044,-0.00502369538771953,0.00032567891143722846,0
clearance,Agility_other,-0.022212504638976196,0.004898208646471548,5.790696663288131e-06,-0.031812993586060434,-0.012612015691891961,1
clearance,Agility_own,0.00464439717237058,0.005365753525691762,0.3869220069992432,-0.005872479737985273,0.015161274082726432,0
clearance,Balance,-0.007241245936512783,0.0007753017459353201,0.05900520524362052,-0.00876083735854601,-0.005721654514479555,0
clearance,Balance_other,0.005092627925844546,0.00392657335123017,0.19466281669381202,-0.002603455842566587,0.012788711694255678,0
clearance,Balance_own,-0.0007677905015831359,0.003912434417882385,0.8444698448180694,-0.008436161960632611,0.006900580957466339,0
clearance,Ball control,0.0011537841245779336,0.009507557455363712,0.9053244800391882,-0.01748102848793494,0.019788596737090807,0
clearance,Ball control_other,0.0067975768444643436,0.0074724975713949225,0.36301044274726735,-0.007848518395469704,0.02144367208439839,0
clearance,Ball control_own,0.03337567636047178,0.007577945105430639,1.0756725204785766e-05,0.018522903953827725,0.04822844876711583,1
clearance,CAM,-0.14887681684566353,,,,,1
clearance,CB,0.4899104046587137,,,,,1
clearance,CDM,-0.21046268185277042,,,,,1
clearance,CF,-0.07145732532003264,,,,,1
clearance,CM,-0.3318384930837144,,,,,1
clearance,Composure,-0.0028509055201703898,0.004172474362026366,0.5203112192329895,-0.011028955269742067,0.005327144229401287,0
clearance,Composure_other,-0.008394233160423318,0.00397156303541161,0.03457287668999309,-0.016178496709830074,-0.0006099696110165621,1
clearance,Composure_own,0.00882001461212439,0.004303762064992175,0.040533158767052324,0.00038464096473972767,0.017255388259509053,1
clearance,Crossing,0.0037140627462496118,0.003046913542542607,0.37939957430226023,-0.0022578877971338976,0.009686013289633122,0
clearance,Crossing_other,0.0068557716624286814,0.003916287369777774,0.08003058776817995,-0.000820151582335755,0.014531694907193117,0
clearance,Crossing_own,-0.0065519196382059644,0.004147420321981994,0.11417510262123187,-0.014680863469290671,0.0015770241928787431,0
clearance,Curve,0.001191928825263179,0.003229602816802986,0.7252311867629135,-0.005138092695670673,0.0075219503461970314,0
clearance,Curve_other,-0.013238897214978666,0.0038257906319001727,0.0005401622114418192,-0.020737446853503004,-0.005740347576454328,1
clearance,Curve_own,0.019257515303484546,0.0041486784920829,3.5314054307455933e-06,0.011126105459002063,0.02738892514796703,1
clearance,Dribbling,-0.014446544189555485,0.008745666449806356,0.10311181715071283,-0.03158805043117594,0.0026949620520649725,0
clearance,Dribbling_other,-0.01210897532580486,0.005608220185685932,0.030848917915482943,-0.023101086889749288,-0.0011168637618604333,1
clearance,Dribbling_own,-0.005824408223934799,0.005869546936808457,0.3219379444023265,-0.017328720220079377,0.005679903772209777,0
clearance,Finishing,-0.004457409935114372,0.0030467223695228728,0.14957707169840195,-0.010428985779379202,0.0015141659091504585,0
clearance,Finishing_other,0.008684834572323056,0.004253056494434025,0.041159309071967076,0.00034884384323236733,0.017020825301413745,1
clearance,Finishing_own,-0.0037769182192332043,0.004336512288776008,0.38505988009463343,-0.01227648230523418,0.004722645866767772,0
clearance,Free kick accuracy,0.001937571806843143,0.002586558307005642,0.5757624472342489,-0.0031320824748879155,0.007007226088574202,0
clearance,Free kick accuracy_other,0.0066864877400260835,0.003301107864823505,0.042824596228918654,0.00021631632497201396,0.013156659155080153,1
clearance,Free kick accuracy_own,-0.01825569013436213,0.0034983403362171053,1.818701560463154e-07,-0.02511243719334766,-0.011398943075376604,1
clearance,Heading accuracy,0.006970246305802445,0.0009299319046935308,7.016609515630989e-14,0.005147579772603125,0.008792912839001766,1
clearance,Heading accuracy_other,0.0009223973691592517,0.0035253392742737944,0.7935959640414212,-0.005987267608417385,0.007832062346735889,0
clearance,Heading accuracy_own,-0.01913254164918031,0.00375120471464764,3.4313300267818647e-07,-0.026484902889889684,-0.011780180408470935,1
clearance,Intercept,2.187291640846291,,,,,1
clearance,Interceptions,0.0004099750862768766,0.0023182188124467565,0.8867854198391218,-0.004133733786118766,0.0049536839586725185,0
clearance,Interceptions_other,0.0057051528264330745,0.005104189355495143,0.2636891276845126,-0.0042990583103374065,0.015709363963203556,0
clearance,Interceptions_own,-0.026434135366933086,0.005405880769185047,1.0154653242722134e-06,-0.03702966167453578,-0.01583860905933039,1
clearance,Jumping,0.003348833760035699,0.00097061419776403,0.0005736812729013607,0.0014464299324182003,0.0052512375876531975,1
clearance,Jumping_other,-0.0027888775809060866,0.0030945858440077235,0.36754233832055605,-0.008854265835161225,0.0032765106733490517,0
clearance,Jumping_own,3.2071736090212e-05,0.003295845172065631,0.9922360182782708,-0.006427784801158425,0.006491928273338849,0
clearance,LB,0.19046107476403476,,,,,1
clearance,LM,-0.05107326814432955,,,,,1
clearance,LW,0.00824665356819308,,,,,1
clearance,LWB,0.2500417651703923,,,,,1
clearance,Long passing,0.001147127181988678,0.0008026825991328332,0.6124946269370155,-0.00042613071231167496,0.002720385076289031,0
clearance,Long passing_other,0.0013153286866640199,0.005537905452162418,0.8122603655593066,-0.009538965999574319,0.01216962337290236,0
clearance,Long passing_own,-0.0030356027478171746,0.005693494766249408,0.5939328799432784,-0.014194852489666013,0.008123646994031664,0
clearance,Long shots,0.004568755904495342,0.001409600987321042,0.001516818064401848,0.0018059379693461,0.007331573839644584,1
clearance,Long shots_other,0.0018073045381316964,0.004489323431254363,0.6872622085499198,-0.006991769387126855,0.010606378463390248,0
clearance,Long shots_own,-0.009771188073439739,0.004607342508159572,0.033973823400852865,-0.0188015793894325,-0.0007407967574469768,1
clearance,Marking,0.008233737281874064,0.0011600791157660834,9.462737865728599e-06,0.005959982214972541,0.010507492348775587,1
clearance,Marking_other,-0.011610693860589614,0.00544610426419445,0.03302226917837592,-0.022285058218410737,-0.0009363295027684914,1
clearance,Marking_own,0.033161671003851124,0.00565437861428142,4.550971377526025e-09,0.02207908891985954,0.04424425308784271,1
clearance,Penalties,-0.000814845663783902,0.0008516147967498976,0.3434435472131012,-0.002484010665413701,0.0008543193378458972,0
clearance,Penalties_other,0.002742103740106279,0.003744624673146529,0.4640064402244679,-0.004597360619260919,0.010081568099473475,0
clearance,Penalties_own,0.005464874802067069,0.003958882318339174,0.16747285746594653,-0.002294534541877712,0.01322428414601185,0
clearance,Positioning,-0.011079500653151365,0.0042642724755333605,0.014670474165506597,-0.01943747470519675,-0.0027215266011059794,1
